Date,Category,Description,Amount,Type
2021-10-18,Salary,Employer paycheck,3067.54,income
2021-10-19,Investment,Dividend payout,254.2,income
2021-10-21,Freelance,Project,557.37,income
2021-10-22,Bills,Rent,550.0,expense
2021-10-23,Bills,Electricity bill,42.09,expense
2021-10-24,Bills,Internet,27.8,expense
2021-10-25,Shopping,Groceries,91.29,expense
2021-10-26,Freelance,Project,307.22,income
2021-10-27,Bills,Water bill,13.23,expense
2021-10-28,Health,Medication,28.19,expense
2021-10-29,Bills,Phone bill,29.16,expense
2021-11-02,Bills,Internet,27.8,expense
2021-11-03,Transport,Train,49.17,expense
2021-11-04,Transport,Bus,34.11,expense
2021-11-05,Bills,Rent,550.0,expense
2021-11-06,Shopping,Jewerly,74.82,expense
2021-11-07,Entertainment,Nightout,13.05,expense
2021-11-09,Bills,Phone bill,27.69,expense
2021-11-11,Salary,Employer paycheck,2884.47,income
2021-11-12,Transport,Train,58.16,expense
2021-11-13,Shopping,Skincare,269.47,expense
2021-11-14,Transport,Rideshare,11.9,expense
2021-11-15,Freelance,Project,564.0,income
2021-11-16,Bills,Water bill,31.91,expense
2021-11-17,Freelance,Invoice settlement,272.88,income
2021-11-18,Freelance,Invoice settlement,465.4,income
2021-11-19,Health,Gym membership,29.03,expense
2021-11-20,Shopping,Clothes,283.65,expense
2021-11-21,Entertainment,Concert,36.1,expense
2021-11-22,Transport,Taxi,50.25,expense
2021-11-23,Bills,Electricity bill,31.03,expense
2021-11-26,Transport,Train,27.34,expense
2021-11-27,Transport,Bus,61.08,expense
2021-11-29,Shopping,Skincare,298.15,expense
2021-11-30,Investment,Dividend payout,272.15,income
2021-12-01,Bills,Phone bill,35.65,expense
2021-12-02,Freelance,Project,172.47,income
2021-12-03,Bills,Internet,27.8,expense
2021-12-04,Bills,Water bill,27.42,expense
2021-12-05,Salary,Employer paycheck,3103.0,income
2021-12-06,Shopping,Clothes,235.67,expense
2021-12-08,Freelance,Invoice settlement,242.13,income
2021-12-09,Bills,Electricity bill,16.27,expense
2021-12-10,Transport,Bus,40.22,expense
2021-12-11,Bills,Rent,550.0,expense
2021-12-12,Transport,Rideshare,68.85,expense
2021-12-15,Transport,Taxi,51.79,expense
2021-12-17,Investment,Dividend payout,76.88,income
2021-12-18,Entertainment,Streaming service,28.16,expense
2021-12-19,Shopping,Groceries,167.47,expense
2021-12-21,Transport,Taxi,20.7,expense
2021-12-24,Freelance,Invoice settlement,101.97,income
2021-12-26,Shopping,Clothes,52.65,expense
2021-12-27,Entertainment,Nightout,25.32,expense
2021-12-28,Transport,Taxi,45.66,expense
2021-12-29,Health,Accessories,28.69,expense
2021-12-30,Transport,Gas,16.15,expense
2021-12-31,Shopping,Groceries,80.73,expense
2022-01-01,Freelance,Project,538.77,income
2022-01-02,Shopping,Baking supplies,216.47,expense
2022-01-03,Freelance,Invoice settlement,517.83,income
2022-01-04,Investment,Dividend payout,226.25,income
2022-01-05,Shopping,Skincare,124.42,expense
2022-01-06,Shopping,Clothes,271.45,expense
2022-01-07,Bills,Electricity bill,18.87,expense
